date,id,name,absolute_magnitude_h,is_potentially_hazardous,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km
2026-03-20,54606519,(2026 FZ1),27.247,False,9.4439782153,21.1173772674,7.7103023644,6016177.989191207
2026-03-20,54606521,(2026 FC2),27.881,False,7.0526929506,15.770300862,15.1259404603,2901390.984140083
2026-03-20,54606532,(2026 FD2),27.083,False,10.1848579596,22.7740347389,19.8036304612,1068095.192118398
2026-03-20,54606533,(2026 FE2),28.015,False,6.6306327842,14.8265456393,17.092931126,957533.091120458
2026-03-20,54606560,(2026 FX2),27.467,False,8.5340459441,19.0827068541,15.9213575235,2115801.899971514
2026-03-20,54606578,(2026 FP3),27.941,False,6.8604874879,15.3405163817,13.512556027,750687.183027793
2026-03-18,3256319,(2004 TB10),21.5,True,133.2155666981,297.8790627982,17.2828825237,69328739.73437361
2026-03-18,3703545,(2015 AJ44),22.4,False,88.0146520901,196.8067450894,15.9170977702,16216668.271349989
2026-03-18,3748418,(2016 FL12),26.3,False,14.6067964271,32.6617897446,17.2877966834,62248817.098480195
2026-03-18,3771018,(2017 EZ2),25.1,False,25.3837029364,56.7596852866,12.5864772253,41144422.906365894
2026-03-18,54123252,(2021 DJ),24.84,False,28.6124453783,63.9793728683,9.398373843,28086626.30726202
2026-03-18,54132075,(2021 FS),27.93,False,6.8953287445,15.4184237999,7.2098118715,6963808.913060412
2026-03-18,54340273,(2023 BV5),27.84,False,7.1871213318,16.0708918604,14.5508471827,55968027.5095941
2026-03-18,54390828,(2023 TY),29.15,False,3.9314700958,8.7910343856,23.4370025099,51798508.24688084
2026-03-18,54397455,(2023 UR3),26.27,False,14.8099972066,33.1161605006,10.4707268225,20222439.695212923
2026-03-18,54604360,(2026 DB11),25.86,False,17.887719524,39.9981568182,8.357194311,13504304.862283036
2026-03-18,54604524,(2026 DV14),25.29,False,23.2570687455,52.0043866724,3.8232603636,10333239.916446837
2026-03-18,54606433,(2026 FB),26.107,False,15.9644873326,35.6976789017,16.6552892202,1098967.165997966
2026-03-18,54606457,(2026 FL),26.762,False,11.8074190448,26.402191623,10.1398908929,3709825.36847337
2026-03-18,54606467,(2026 FO),29.263,False,3.7321146489,8.3452620547,9.764278068,431345.965542539
2026-03-18,54606470,(2026 FQ),25.751,False,18.8085353036,42.0571634961,21.5682082785,3874566.522220712
2026-03-18,54606481,(2026 FA1),25.723,False,19.0526318872,42.6029800501,9.31070026,6225920.7702777
